order_id,product_id,quantity,unit_price,discount,revenue
O00001,P05010,4,181.76,0.1,654.34
O00001,P06006,4,416.04,0.05,1580.95
O00001,P03013,3,321.28,0.0,963.84
O00001,P02002,2,196.15,0.0,392.3
O00002,P07011,5,431.76,0.1,1942.92
O00002,P02011,3,459.11,0.05,1308.46
O00002,P02008,1,170.97,0.05,162.42
O00002,P04001,4,419.16,0.0,1676.64
O00003,P03012,2,123.03,0.0,246.06
O00003,P05011,5,38.44,0.0,192.2
O00003,P06010,3,95.23,0.0,285.69
O00003,P05005,3,437.3,0.0,1311.9
O00004,P07008,3,23.13,0.0,69.39
O00005,P02006,4,54.05,0.05,205.39
O00005,P07015,2,400.67,0.0,801.34
O00005,P01015,4,201.24,0.0,804.96
O00005,P02001,3,190.11,0.0,570.33
O00006,P02003,3,45.39,0.1,122.55
O00007,P03001,1,309.6,0.0,309.6
O00007,P07014,1,140.24,0.05,133.23
O00007,P03012,4,123.03,0.0,492.12
O00008,P04014,1,183.5,0.0,183.5
O00008,P02015,2,237.21,0.0,474.42
O00009,P05014,1,56.31,0.2,45.05
O00010,P03004,4,111.75,0.0,447.0
O00010,P07002,5,443.47,0.0,2217.35
O00010,P07006,1,408.63,0.05,388.2
O00011,P03014,3,313.29,0.0,939.87
O00011,P01013,3,465.58,0.0,1396.74
O00011,P05005,4,437.3,0.15,1486.82
O00011,P06003,1,179.39,0.0,179.39
O00012,P03015,3,36.09,0.0,108.27
O00012,P01014,3,210.37,0.0,631.11
O00012,P07009,2,325.22,0.0,650.44
O00013,P02012,2,238.87,0.2,382.19
O00014,P03006,5,470.41,0.15,1999.24
O00014,P07011,1,431.76,0.05,410.17
O00014,P01015,3,201.24,0.15,513.16
O00014,P04014,3,183.5,0.0,550.5
O00015,P02003,3,45.39,0.0,136.17
O00015,P07006,4,408.63,0.0,1634.52
O00016,P03012,1,123.03,0.0,123.03
O00017,P01002,4,260.38,0.0,1041.52
O00017,P06002,1,71.04,0.0,71.04
O00018,P05013,1,330.27,0.0,330.27
O00018,P04001,5,419.16,0.1,1886.22
O00018,P01007,5,259.11,0.0,1295.55
O00019,P05004,2,15.07,0.0,30.14
O00019,P03005,2,79.01,0.0,158.02
O00019,P06013,3,472.08,0.1,1274.62
O00020,P04001,2,419.16,0.05,796.4
O00020,P01008,2,416.37,0.1,749.47
O00021,P07006,3,408.63,0.0,1225.89
O00021,P05001,5,274.32,0.0,1371.6
O00021,P07007,5,239.33,0.1,1076.99
O00021,P05012,3,124.36,0.05,354.43
O00022,P04005,1,289.65,0.0,289.65
O00022,P06013,1,472.08,0.0,472.08
O00023,P02008,4,170.97,0.05,649.69
O00023,P04013,5,264.12,0.05,1254.57
O00023,P06003,4,179.39,0.15,609.93
O00023,P05009,4,374.92,0.0,1499.68
O00024,P03008,1,214.51,0.05,203.78
O00024,P07007,4,239.33,0.1,861.59
O00025,P01010,5,455.7,0.1,2050.65
O00025,P07004,5,158.49,0.0,792.45
O00025,P02002,2,196.15,0.0,392.3
O00026,P07013,1,329.59,0.0,329.59
O00026,P01006,1,227.41,0.0,227.41
O00026,P01005,5,84.35,0.0,421.75
O00026,P07004,2,158.49,0.05,301.13
O00027,P02003,3,45.39,0.15,115.74
O00027,P01012,2,442.89,0.0,885.78
O00028,P05003,1,256.27,0.1,230.64
O00028,P07005,3,202.12,0.0,606.36
O00028,P02011,2,459.11,0.0,918.22
O00029,P01009,3,50.4,0.15,128.52
O00029,P04005,5,289.65,0.1,1303.42
O00030,P04009,5,179.64,0.15,763.47
O00030,P02014,2,380.63,0.1,685.13
O00031,P01006,5,227.41,0.0,1137.05
O00031,P04012,1,335.77,0.1,302.19
O00031,P06014,1,23.31,0.15,19.81
O00032,P06001,5,379.56,0.0,1897.8
O00033,P02001,5,190.11,0.1,855.5
O00033,P02008,4,170.97,0.1,615.49
O00034,P04009,5,179.64,0.0,898.2
O00034,P04005,3,289.65,0.0,868.95
O00034,P05005,3,437.3,0.0,1311.9
O00034,P04014,4,183.5,0.15,623.9
O00035,P07008,4,23.13,0.0,92.52
O00035,P07002,1,443.47,0.05,421.3
O00035,P06015,1,104.79,0.0,104.79
O00035,P04014,2,183.5,0.2,293.6
O00036,P03003,4,14.41,0.0,57.64
O00036,P07012,2,28.66,0.0,57.32
O00036,P01013,3,465.58,0.0,1396.74
O00036,P06006,5,416.04,0.0,2080.2
O00037,P06007,3,343.92,0.0,1031.76
O00037,P07015,3,400.67,0.0,1202.01
O00037,P06010,4,95.23,0.15,323.78
O00038,P03010,5,122.63,0.0,613.15
O00038,P01015,1,201.24,0.0,201.24
O00038,P07004,3,158.49,0.2,380.38
O00039,P07003,3,161.22,0.05,459.48
O00039,P04015,4,476.93,0.1,1716.95
O00039,P06011,2,71.75,0.0,143.5
O00039,P03013,2,321.28,0.05,610.43
O00040,P06002,4,71.04,0.05,269.95
O00041,P03004,2,111.75,0.0,223.5
O00041,P05007,3,196.51,0.1,530.58
